NFLID,Height,Weight,DOB,College
00-0023318,Chris White,303,2/28/1983,Southern Mississippi
00-0029959,Carson Tinker,237,11/15/1989,Alabama
00-0029956,Jordan Rodgers,212,8/30/1988,Vanderbilt
00-0029957,Matt Scott,210,11/9/1990,Arizona
00-0029770,Joplo Bartu,251,10/3/1989,Texas State
00-0029771,Nick Clancy,232,11/3/1989,Boston College
00-0026799,Jeremiah Johnson,210,2/15/1987,Oregon
00-0029777,Neal Huynh,315,6/22/1990,Ohio U.
00-0023310,Lance Moore,187,8/31/1983,Toledo
00-0029951,Ryan Otten,241,4/7/1990,San Jose State
00-0002123,Tedy Bruschi,247,6/9/1973,Arizona
00-0031862,Taiwan Jones,252,12/1/1993,Michigan State
00-0031861,Julian Howsare,255,9/11/1992,Clarion
00-0031860,Durell Eskridge,207,12/17/1991,Syracuse
00-0031867,Brian Blechen,230,9/30/1991,Utah
00-0031866,Jordan Williams,272,3/23/1993,Tennessee
00-0031865,Davon Walls,290,10/18/1990,Lincoln (MO)
00-0031864,Wes Saxton,235,8/13/1993,South Alabama
00-0031868,Damiere Byrd,180,1/27/1993,South Carolina
00-0005755,Jeff Garcia,205,2/24/1970,San Jose State
00-0029888,Darryl Morris,186,9/4/1990,Texas State
00-0024375,Chris Kuper,303,12/19/1982,North Dakota
00-0022409,Jordan Babineaux,210,8/31/1982,Southern Arkansas
00-0033215,Cyril Grayson,183,12/5/1993,LSU
00-0022405,Lousaka Polite,245,9/14/1981,Pittsburgh
00-0026539,Lendy Holmes,215,10/26/1985,Oklahoma
00-0026538,Derek Walker,271,9/16/1986,Illinois
00-0026249,Mike McGlynn,325,3/8/1985,Pittsburgh
00-0026248,Kory Lichtensteiger,295,3/22/1985,Bowling Green State
00-0026531,Shawn Bayes,180,7/8/1987,Kent State
00-0026530,Kenny Ingram,238,2/27/1986,Florida State
00-0021213,Chris Baker,261,11/18/1979,Michigan State
00-0026244,Beau Bell,250,5/26/1986,Nevada-Las Vegas
00-0026243,William Hayes,278,5/2/1985,Winston-Salem State
00-0026534,Jonathan Compas,300,1/9/1986,California-Davis
00-0026537,Edwin Williams,315,12/10/1986,Maryland
00-0021216,Brian Westbrook,203,9/2/1979,Villanova
00-0027118,Nate Davis,226,5/25/1987,Ball State
00-0027119,David Buehler,230,2/5/1987,USC
00-0027114,Thomas Morstead,235,3/8/1986,Southern Methodist
00-0027115,Chris Clemons,215,9/15/1985,Clemson
00-0027116,Mike Hamlin,213,11/21/1985,Clemson
00-0027117,George Bussey,305,10/24/1984,Louisville
00-0027110,Garrett Reynolds,305,7/1/1987,North Carolina
00-0027111,Brooks Foster,205,4/9/1986,North Carolina
00-0027112,Jamon Meredith,312,5/11/1986,South Carolina
00-0027113,Duke Robinson,330,10/10/1986,Oklahoma
00-0033708,Brad Watson,190,8/20/1995,Wake Forest
00-0033700,Nigel Harris,230,12/7/1994,South Florida
00-0033701,Eli Jenkins,210,8/7/1994,Jacksonville State
00-0033702,Younghoe Koo,185,8/3/1994,Georgia Southern
00-0033703,Charmeachealle Moore,235,1/30/1993,Kansas State
00-0033704,James Onwualu,235,9/4/1994,Notre Dame
00-0033705,Andre Patton,200,5/28/1994,Rutgers
00-0033706,Artavis Scott,195,12/12/1994,Clemson
00-0033707,Brandon Stewart,185,1/29/1994,Kansas
00-0030240,Uzoma Nwachukwu,210,12/15/1990,Texas A&M
00-0030241,Earl Okine,290,1/4/1990,Florida
00-0030243,Andrew Shapiro,203,9/4/1990,Fresno State
00-0030245,Jawanza Starling,206,6/21/1991,USC
00-0030246,Justin Tuggle,249,1/4/1990,Kansas State
00-0030247,George Winn,215,11/10/1990,Cincinnati
00-0030248,Cierre Wood,226,2/21/1991,Notre Dame
00-0022897,Greg Jones,251,5/9/1981,Florida State
00-0022894,Travis LaBoy,250,8/20/1981,Hawaii
00-0022895,Justin Smiley,310,11/11/1981,Alabama
00-0022890,Vernon Carey,340,7/31/1981,Miami (Fla.)
00-0022074,George Foster,338,6/9/1980,Georgia
00-0019188,Justin Snow,245,12/21/1976,Baylor
00-0022077,Nnamdi Asomugha,210,7/6/1981,California
00-0018584,Brian Waters,320,2/18/1977,North Texas
00-0033230,Robert Leff,302,7/11/1994,Auburn
00-0033231,Josh Magee,170,10/1/1991,South Alabama
00-0010609,Brad Maynard,188,2/9/1974,Ball State
00-0033232,Quincy Mauger,206,3/4/1995,Georgia
00-0031269,T.J. Carrie,205,7/28/1990,Ohio U.
00-0031268,Walt Powell,189,11/23/1991,Murray State
00-0033233,Jordan Moore,225,12/13/1993,Texas-San Antonio
00-0031261,Tre Boston,205,6/25/1992,North Carolina
00-0031260,Logan Thomas,250,7/1/1991,Virginia Tech
00-0031263,Avery Williamson,246,3/9/1992,Kentucky
00-0031262,Bene' Benwikere,195,9/3/1991,San Jose State
00-0031265,Ed Stinson,287,2/15/1990,Alabama
00-0021231,David Garrard,236,2/14/1978,East Carolina
00-0023945,Ricky Brown,235,12/27/1983,Boston College
00-0031266,Zach Mettenberger,224,7/16/1991,LSU
00-0032078,Tyreek Burwell,310,3/11/1992,Cincinnati
00-0019986,Juqua Parker,250,5/15/1978,Oklahoma State
00-0033236,Taylor Reynolds,190,2/5/1994,James Madison
00-0032071,Trent Brown,355,4/13/1993,Florida
00-0032070,Dezmin Lewis,214,12/5/1992,Central Arkansas
00-0032073,Jake Heaps,217,6/19/1991,Miami (Fla.)
00-0032072,Rory Anderson,246,10/2/1992,South Carolina
00-0032074,Chi Chi Ariguzo,235,6/23/1992,Northwestern
00-0032076,Ben Beckwith,306,12/27/1991,Mississippi State
00-0026944,Captain Munnerlyn,195,4/10/1988,South Carolina
00-0026515,Tony Carter,175,5/24/1986,Florida State
00-0029419,Dennis Kelly,321,1/16/1990,Purdue
00-0029418,Najee Goode,244,6/4/1989,West Virginia
00-0028230,Adam Weber,210,8/3/1987,Minnesota
00-0028231,Colby Whitlock,302,8/28/1988,Texas Tech
00-0028232,Marshall Williams,188,2/15/1988,Wake Forest
00-0028234,Tyler Beiler,190,11/14/1988,Bridgewater College
00-0028237,Chris Hogan,210,10/24/1988,Monmouth (N.J.)
00-0028238,Konrad Reuland,254,4/4/1987,Stanford
00-0028239,Kenny Rowe,232,4/22/1989,Oregon
00-0021955,Dan Klecko,275,1/12/1981,Temple
00-0029417,Jared Crick,285,8/21/1989,Nebraska
00-0030108,Ryan Griffin,255,1/11/1990,Connecticut
00-0025540,Kevin Boss,255,1/11/1984,Western Oregon
00-0024353,Quinn Ojinnaka,295,4/23/1984,Syracuse
00-0025843,Darrell Strong,265,5/21/1986,Pittsburgh
00-0031678,Damian Parms,210,10/28/1992,Florida Atlantic
00-0030106,Chris Jones,293,7/12/1990,Bowling Green State
00-0031676,Joey Mbu,323,3/28/1993,Houston
00-0031673,Mike Lee,185,6/26/1991,Fort Valley State
00-0031671,Beau Gardner,240,12/27/1989,Northern Arizona
00-0030104,Nate Palmer,248,9/23/1989,Illinois State
00-0021488,Mat McBriar,227,7/8/1979,Hawaii
00-0030102,DeVonte Holloman,238,2/12/1991,South Carolina
00-0025848,Roy Lewis,190,5/19/1985,Washington
00-0030101,Rufus Johnson,280,8/28/1990,Tarleton State
00-0024354,Parys Haralson,255,1/24/1984,Tennessee
00-0028942,Duke Ihenacho,212,6/16/1989,San Jose State
00-0028943,Steven Johnson,237,3/28/1988,Kansas
00-0028940,Laron Scott,184,7/12/1987,Georgia Southern
00-0028941,Jerry Franklin,245,1/10/1988,Arkansas
00-0028498,Rajric Coleman,189,7/13/1989,Utah State
00-0028944,Wayne Tribue,329,4/30/1990,Temple
00-0028945,Austin Wuebbels,295,10/27/1988,Missouri
00-0028494,Jerrard Tarrant,204,5/29/1989,Georgia Tech
00-0028495,Justin Trattou,258,8/28/1988,Florida
00-0028496,Danny Aiken,255,8/28/1988,Virginia
00-0028497,Kamar Aiken,216,5/30/1989,Central Florida
00-0028490,Derek Simmons,300,2/16/1988,USC
00-0028492,Henry Hynoski,266,12/30/1988,Pittsburgh
00-0028493,David Sims,207,10/20/1986,Iowa State
00-0023404,Atari Bigby,211,9/19/1981,Central Florida
00-0023405,Abram Elam,212,10/15/1981,Kent State
00-0029017,Eddie Whitley,191,10/26/1989,Virginia Tech
00-0029016,Aston Whiteside,255,5/19/1989,Abilene Christian
00-0029543,Donald Stephenson,312,9/30/1988,Oklahoma
00-0029014,Lionel Smith,184,8/18/1987,Texas A&M;
00-0029545,Keenan Robinson,245,7/7/1989,Texas
00-0029544,Mike Martin,298,9/1/1990,Michigan
00-0029547,Vick Ballard,224,7/16/1990,Mississippi State
00-0029010,Ronald Leary,320,4/29/1989,Memphis
00-0029549,Justin Anderson,340,4/15/1988,Georgia
00-0029548,LaVon Brazill,194,3/15/1989,Ohio U.
00-0025453,Usama Young,195,5/8/1985,Kent State
00-0025452,Quentin Moses,260,11/18/1983,Georgia
00-0025451,Sabby Piscitelli,224,8/24/1983,Oregon State
00-0025450,Brandon Jackson,215,10/2/1985,Nebraska
00-0025457,Ryan Harris,302,3/11/1985,Notre Dame
00-0025456,Buster Davis,251,10/20/1983,Florida State
00-0025455,Quincy Black,240,2/28/1984,New Mexico
00-0025454,James Marten,310,4/18/1984,Boston College
00-0025459,Marcus McCauley,203,9/3/1983,Fresno State
00-0025458,Lorenzo Booker,201,6/14/1984,Florida State
00-0023255,Mike Wright,295,3/1/1982,Cincinnati
00-0029894,Kapron Lewis-Moore,320,1/24/1990,Notre Dame
00-0029893,Ricky Wagner,310,10/21/1989,Wisconsin
00-0023252,Robbie Gould,190,12/6/1982,Penn State
00-0023251,Kyle Eckel,237,12/30/1981,Navy
00-0030815,Ty Zimmerman,204,6/23/1990,Kansas State
00-0030814,Pierre Warren,200,8/16/1992,Jacksonville State
00-0030817,Terrance Cobb,220,4/18/1990,Cumberland College
00-0029890,Mike Purcell,328,4/20/1991,Wyoming
00-0030811,George Uko,284,2/11/1992,USC
00-0030810,Micajah Reynolds,330,1/24/1990,Michigan State
00-0030813,Lawrence Virgil,290,1/20/1991,Valdosta State
00-0030812,Chidera Uzo-Diribe,250,5/30/1992,Colorado
00-0029679,Brandon Brooks,335,8/19/1989,Miami (Ohio)
00-0032497,Reid Ferguson,244,3/24/1994,LSU
00-0022155,Jimmy Kennedy,302,11/15/1979,Penn State
00-0033137,Eric Wallace,260,12/13/1988,Seattle
00-0033132,Kevin Byard,212,8/17/1993,Middle Tennessee State
00-0033131,Maliek Collins,308,4/8/1995,Nebraska
00-0033130,Max Tuerk,298,1/27/1994,USC
00-0033138,Sam Ficken,191,12/14/1992,Penn State
00-0019213,Lonie Paxton,270,3/13/1978,Sacramento State
00-0027945,Aldon Smith,265,9/25/1989,Missouri
00-0032946,De'Vante Harris,190,6/30/1994,Texas A&M
00-0027943,Patrick Peterson,203,7/11/1990,LSU
00-0032940,DeAndre Washington,204,2/22/1993,Texas Tech
00-0027941,Marcell Dareus,331,3/13/1990,Alabama
00-0027940,Von Miller,250,3/26/1989,Texas A&M
00-0027329,Joe Joseph,315,10/20/1985,Miami (Fla.)
00-0027328,Stafon Johnson,222,2/6/1988,USC
00-0027322,David Nelson,215,11/7/1986,Florida
00-0027321,Jeff Cumberland,260,5/2/1987,Illinois
00-0027327,Nick Howell,300,10/10/1986,USC
00-0027325,LeGarrette Blount,250,12/5/1986,Oregon
00-0020805,Jason McKie,250,5/22/1980,Temple
00-0020804,Corey McIntyre,245,1/25/1979,West Virginia
00-0025871,Brandon Rodd,305,11/1/1985,Arizona State
00-0025870,Darrick Brown,200,2/18/1984,McNeese State
00-0020801,Artis Hicks,312,11/28/1978,Memphis
00-0025872,Kyle DeVan,306,2/10/1985,Oregon State
00-0031074,Jeoffrey Pagan,310,6/10/1993,Alabama
00-0031075,Alfred Blue,225,4/27/1991,LSU
00-0031076,David Fales,213,10/4/1990,San Jose State
00-0031077,Kendall James,180,6/29/1991,Maine
00-0031070,Nat Berhe,195,7/6/1991,San Diego State
00-0031071,Caraun Reid,298,11/23/1991,Princeton
00-0031072,Vinnie Sunseri,210,9/27/1993,Alabama
00-0031073,Ronald Powell,247,5/14/1991,Florida
00-0031078,Lache Seastrunk,210,7/29/1991,Baylor
00-0031079,Pat O'Donnell,217,2/22/1991,Miami (Fla.)
00-0032664,Don Cherry,240,9/27/1994,Villanova
00-0032666,John Kling,328,7/9/1993,Buffalo
00-0032667,Roy Robertson-Harris,294,7/23/1993,Texas-El Paso
00-0032660,Brandin Bryant,289,9/16/1993,Florida Atlantic
00-0032661,Ben Braunecker,252,2/7/1994,Harvard
00-0032663,Taveze Calhoun,188,12/26/1992,Mississippi State
00-0032668,Joe Sommers,240,3/3/1993,Wis.-Oshkosh
00-0031388,Aaron Donald,280,5/23/1991,Pittsburgh
00-0031389,Lamarcus Joyner,190,11/27/1990,Florida State
00-0031386,Greg Robinson,332,10/21/1992,Auburn
00-0031387,Eric Ebron,253,4/10/1993,North Carolina
00-0031384,Richard Rodgers,257,1/22/1992,California
00-0031385,Sergio Castillo,195,11/1/1990,West Texas A&M
00-0031382,Jarvis Landry,208,11/28/1992,LSU
00-0031383,Dezmen Southward,208,10/1/1990,Wisconsin
00-0031380,Darqueze Dennard,205,10/10/1991,Michigan State
00-0031381,Davante Adams,215,12/24/1992,Fresno State
00-0000045,Flozell Adams,338,5/18/1975,Michigan State
00-0018351,Renaldo Wynn,280,9/3/1974,Notre Dame
00-0006915,Al Harris,194,12/7/1974,Texas A&M; - Kingsville
00-0013126,Joey Porter,248,3/22/1977,Colorado State
00-0030385,Gerald Hodges,236,1/17/1991,Penn State
00-0030384,Jelani Jenkins,240,3/13/1992,Florida
00-0030387,Steven Means,263,9/16/1990,Buffalo
00-0030386,William Gholston,281,7/31/1991,Michigan State
00-0030380,Benson Mayowa,265,8/3/1991,Idaho
00-0030383,Duron Harmon,205,1/24/1991,Rutgers
00-0030382,Kevin Minter,246,12/3/1990,LSU
00-0030389,Tanner Hawkinson,300,5/14/1990,Kansas
00-0030388,Joseph Randle,210,12/29/1991,Oklahoma State
00-0024008,Quincy Butler,188,11/25/1983,Texas Christian
00-0030039,Kendall Gaskins,238,11/4/1990,Richmond
00-0030037,J.D. Griggs,244,11/5/1990,Akron
00-0030036,De'Leon Eskridge,215,12/19/1989,San Jose State
00-0030035,Adam Thielen,200,8/22/1990,Minnesota State
00-0030034,Chuck Jacobs,178,5/11/1990,Utah State
00-0030033,Terence Garvin,235,1/1/1991,West Virginia
00-0030032,Ka'Lial Glaud,220,11/9/1990,Rutgers
00-0030031,Chris Denton,195,8/28/1991,Mount Union
00-0030030,Jace Daniels,300,3/6/1990,Northern Michigan
00-0033291,DeAngelo Yancey,220,11/18/1994,Purdue
00-0028515,Alexander Robinson,191,5/7/1988,Iowa State
00-0032860,Mehdi Abdesmad,284,9/28/1991,Boston College
00-0032867,Tyler Marz,316,9/9/1992,Wisconsin
00-0032864,Alex Ellis,245,2/10/1993,Tennessee
00-0032865,Iosia Iosia,297,12/28/1991,West Texas A&M
00-0032868,Ishaq Williams,253,2/22/1993,Notre Dame
00-0012478,Terrell Owens,224,12/7/1973,Tennessee-Chattanooga
00-0028009,DeMarco Murray,220,2/12/1988,Oklahoma
00-0028008,Justin Houston,258,1/12/1989,Georgia
00-0028555,Stephen Franklin,235,9/26/1988,Southern Illinois
00-0028554,DeQuin Evans,265,5/17/1987,Kentucky
00-0028005,Nate Irving,253,7/12/1988,North Carolina State
00-0028556,Jamere Holland,192,3/6/1988,Lindenwood
00-0028551,Landon Cox,220,6/19/1989,Northern Illinois
00-0028002,Randall Cobb,192,8/22/1990,Kentucky
00-0028001,Marcus Gilbert,330,2/15/1988,Florida
00-0028000,Daniel Thomas,235,10/29/1987,Kansas State
00-0029970,Michael Clay,235,8/30/1991,Oregon
00-0029203,David Molk,290,12/15/1988,Michigan
00-0029972,A.J. Francis,337,5/7/1990,Maryland
00-0029201,Sean Richardson,216,1/21/1990,Vanderbilt
00-0029974,Keelan Johnson,209,9/26/1989,Arizona State
00-0029207,Jerico Nelson,216,9/19/1989,Arkansas
00-0029204,Toney Clemons,205,10/11/1988,Colorado
00-0029977,Cameron Marshall,215,10/14/1991,Arizona State
00-0029754,Shelton Johnson,195,7/16/1990,Wisconsin
00-0029979,Tristan Okpalaugo,258,10/10/1989,Fresno State
00-0029208,Tyrunn Walker,310,3/18/1990,Tulsa
00-0029209,Ryan Broyles,195,4/9/1988,Oklahoma
00-0029750,Billy Boyko,235,8/3/1991,Lehigh
00-0029752,Bobby Cowan,219,3/5/1990,Idaho
00-0031806,Malcolm Brown,227,5/15/1993,Texas
00-0031801,Jordan Leslie,205,10/31/1991,Brigham Young
00-0031800,Taylor Heinicke,210,3/15/1993,Old Dominion
00-0031802,Gavin Lutman,211,3/27/1991,Pittsburg State
00-0031808,Isiah Ferguson,218,1/8/1991,Arkansas-Pine Bluff
00-0032417,Paul Perkins,213,11/16/1994,UCLA
00-0027544,Brandon Sharpe,254,12/11/1986,Texas Tech
00-0016577,Deshea Townsend,190,9/8/1975,Alabama
00-0021189,Ryan Denney,264,6/15/1977,Brigham Young
00-0021181,Langston Walker,360,9/3/1979,California
00-0021182,Maurice Morris,216,12/1/1979,Oregon
00-0021185,Michael Lewis,222,4/29/1980,Colorado
00-0021184,Ladell Betts,224,8/27/1979,Iowa
00-0021187,Jon McGraw,208,4/2/1979,Kansas State
00-0021186,Sheldon Brown,200,3/19/1979,South Carolina
00-0024643,Tuff Harris,198,1/23/1983,Montana
00-0024645,Onrea Jones,202,12/22/1983,Hampton
00-0024648,DelJuan Robinson,307,7/1/1984,Mississippi State
00-0033098,Cardale Jones,250,9/29/1992,Ohio State
00-0022421,Ruvell Martin,214,8/10/1982,Saginaw Valley State
00-0022427,Wes Welker,185,5/1/1981,Texas Tech
00-0033090,Hunter Henry,250,12/7/1994,Arkansas
00-0033091,KeiVarae Russell,196,10/19/1993,Notre Dame
00-0033093,Jonathan Bullard,296,10/22/1993,Florida
00-0033094,Marvin Hall,190,4/10/1993,Washington
00-0033095,Garrett Griffin,240,3/4/1994,Air Force
00-0033096,Shaq Lawson,267,6/17/1994,Clemson
00-0033097,Shon Coleman,310,11/25/1991,Auburn
00-0026513,Marquez Branson,247,2/14/1987,Central Arkansas
00-0026512,Chris Baker,320,10/8/1987,Hampton
00-0026511,Brock Christopher,245,9/11/1986,Missouri
00-0021230,David Thornton,233,11/1/1978,North Carolina
00-0026516,Britton Colquitt,210,3/20/1985,Tennessee
00-0021235,Dave Zastudil,220,10/26/1978,Ohio U.
00-0026519,DJ Johnson,191,11/7/1985,Jackson State
00-0027176,Larry Taylor,177,5/30/1985,Connecticut
00-0027172,Tristan Davis,211,5/5/1986,Auburn
00-0027173,Julius Pruitt,212,12/30/1985,Ouachita Baptist
00-0027170,Josh Mauga,245,6/20/1987,Nevada
00-0027171,Solomon Elimimian,230,10/21/1986,Hawaii
00-0027179,Rolly Lumbala,238,1/30/1986,Idaho
00-0022529,Luke Lawton,240,8/26/1980,McNeese State
00-0022527,Jabari Greer,180,2/11/1982,Tennessee
00-0022521,Rashad Baker,200,2/22/1982,Tennessee
00-0026237,Andre Caldwell,200,4/15/1985,Florida
00-0030905,Damien Jacobs,284,7/22/1991,Florida
00-0025996,Jamie Silva,204,12/14/1984,Boston College
00-0025997,Chad Simpson,216,8/22/1985,Morgan State
00-0025995,Jordan Senn,225,6/11/1984,Portland State
00-0025992,Samuel Giguere,218,7/11/1985,Unknown
00-0025993,Curtis Johnson,254,2/16/1985,Clark Atlanta
00-0025991,Eric Foster,265,4/5/1985,Rutgers
00-0025999,David Hawthorne,246,5/14/1985,Texas Christian
00-0031248,Julian Horton,205,12/12/1991,Arkansas
00-0023693,Chase Blackburn,240,6/10/1983,Akron
00-0001255,David Binn,228,2/6/1972,California
00-0020348,Floyd Womack,328,11/15/1978,Mississippi State
00-0029488,Larry Parker,176,1/17/1989,San Diego State
00-0020342,Brandon Manumaleuna,295,1/4/1980,Arizona
00-0020344,Brandon Gorin,308,8/17/1978,Purdue
00-0031243,Storm Johnson,228,7/10/1992,Central Florida
00-0031242,Shamar Stephen,310,2/25/1991,Connecticut
00-0031241,Devon Kennard,256,6/24/1991,USC
00-0031240,Khairi Fortt,240,3/24/1992,California
00-0031247,David Gilbert,254,10/31/1991,Miami (Fla.)
00-0031246,Nate Isles,348,1/4/1992,North Carolina A&T
00-0031245,Ken Bishop,300,9/8/1990,Northern Illinois
00-0031244,Brandon Watts,242,1/21/1991,Georgia Tech
00-0031249,Waymon James,203,1/24/1991,Texas Christian
00-0023926,Daniel Federkeil,290,11/9/1983,Calgary
00-0023921,Miles Austin,215,6/30/1984,Monmouth (N.J.)
00-0023920,Dennis Roland,315,3/10/1983,Georgia
00-0032053,Brandon Scherff,319,12/26/1991,Iowa
00-0032052,Dante Fowler,255,8/3/1994,Florida
00-0032050,Corey Moore,205,1/28/1993,Georgia
00-0032057,Jaquiski Tartt,221,2/18/1992,Samford
00-0032056,Hau'oli Kikaha,246,7/24/1992,Washington
00-0032055,Devin Funchess,225,5/21/1994,Michigan
00-0032054,Breshad Perriman,215,9/10/1993,Central Florida
00-0032059,P.J. Williams,196,6/1/1993,Florida State
00-0032058,Tevin Coleman,210,4/16/1993,Indiana
00-0029486,Tray Session,195,7/18/1989,Nevada
00-0029487,Eddy Carmona,203,9/4/1988,Harding
00-0024825,Jake Nordin,262,7/8/1984,Northern Illinois
00-0029481,DeOn'tae Pannell,323,3/19/1990,Penn State
00-0020006,Antonio Pierce,238,10/26/1978,Arizona
00-0029953,Lonnie Pryor,224,2/22/1990,Florida State
00-0031653,Travis Raciti,292,5/21/1992,San Jose State
00-0031656,Kyle Brindza,239,1/13/1993,Notre Dame
00-0031657,Isaiah Johnson,207,5/16/1992,Georgia Tech
00-0021126,Ken Amato,240,5/18/1977,Montana State
00-0030910,C.J. Barnett,201,4/21/1991,Ohio State
00-0030663,Willie Snead,195,10/17/1992,Ball State
00-0016960,Mike Vrabel,261,8/14/1975,Ohio State
00-0030912,Dan Fox,233,3/17/1991,Notre Dame
00-0028965,LaQuinton Evans,203,7/12/1990,Southern University
00-0033878,Adoree' Jackson,185,9/18/1995,USC
00-0030913,Jordan Stanton,263,4/11/1991,James Madison
00-0028960,Devin Aguilar,200,10/22/1988,Washington
00-0028961,Brandon Barden,253,3/15/1989,Vanderbilt
00-0028963,Chandler Burden,300,11/17/1989,Kentucky
00-0033872,Jamal Adams,213,10/17/1995,LSU
00-0030914,Torrence Allen,183,3/31/1991,West Texas A&M
00-0033871,Corey Davis,209,1/11/1995,Western Michigan
00-0033876,Derek Barnett,259,6/25/1996,Tennessee
00-0028969,D.J. Woods,180,11/29/1989,Cincinnati
00-0033874,Marshon Lattimore,192,5/20/1996,Ohio State
00-0033875,Haason Reddick,235,9/22/1994,Temple
00-0021755,Earnest Graham,225,1/15/1980,Florida
00-0021756,Will Heller,275,2/28/1981,Georgia Tech
00-0029568,Malik Jackson,290,1/11/1990,Tennessee
00-0029563,Omar Bolden,195,12/20/1988,Arizona State
00-0029562,Lavonte David,233,1/23/1990,Nebraska
00-0029561,Cordy Glenn,345,9/18/1989,Georgia
00-0029560,Dre Kirkpatrick,185,10/26/1989,Alabama
00-0029567,Nick Foles,243,1/20/1989,Arizona
00-0029566,Zach Brown,251,10/23/1989,North Carolina
00-0029564,B.J. Cunningham,215,5/29/1989,Michigan State
00-0025435,Justin Durant,230,9/21/1985,Hampton
00-0025434,David Harris,250,1/21/1984,Michigan
00-0025437,Chris Henry,234,6/6/1985,Arizona
00-0028619,Dominique Barnes,185,5/6/1989,Youngstown State
00-0025431,Sidney Rice,202,9/1/1986,South Carolina
00-0025430,Drew Stanton,243,5/7/1984,Michigan State
00-0025433,LaMarr Woodley,265,11/3/1984,Michigan
